IDTNS;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A2_1;A2_2;A2_3;A3;A4;E2;E4;F2_1;F2_2;F2_3;F4_1;F4_2;F4_3
3978;6;7;5;8;3;2;6; ; ; ; ; ; ; ; ; ; ;8;8;8
3984;10;10;7;7;8;10;10;10;10;10;10;10;9; ; ; ; ; ; ; 
4005;3;4;2;3;2;4;6;2;2;0;2;3;2; ; ; ; ; ; ; 
4069;7; ;8;6;8;8;7;7;6;7;8; ; ; ; ; ; ;8;8;7
4085;9;10;10;10;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
4139;8;8;6;7;8;5;7;8;9;9;8;8; ; ; ; ; ; ; ; 
4209;3;3;0;1;0;0;0;0;0;0;0; ;0;0; ; ; ; ; ; 
4230;6;4;6;8;5;10;9;5;7;0;10;10;4; ;10;8;10;8;10;8
4258;6;8;7;7;7;10;9;8;8;10;8;7; ;7; ; ; ; ; ; 
4259;7;7;5;7;5;10;7;5;7;10;10; ; ; ; ; ; ; ;10;8
4264;8;10;8;7;7;7;5; ; ; ; ; ; ; ; ; ; ; ; ; 
4278;9;7;7;7;7;8;8;6;3;5;6; ; ; ; ; ; ;5;7;7
4326;8;8;8;8;6;3;4;7;8;8;8;7;6;2; ; ; ;8;8;9
4347;7;7;7;9;9;7;7;8;7;8;9;7;8;9;9;9;8; ; ; 
4358;4;7;9;9;3;10;9;8;10;10;6;8; ; ; ; ; ; ; ; 
4418;10;10;8;8;8;10;10;10;10;10;10; ;10;10; ; ; ;10;10;10
4420;1;3;0;0;0;0;0;5;0;0;5; ;0; ;0;0;8; ; ; 
4472;8;8;7;6;7;7;6;9;9;9;10; ;10;6; ; ; ;5;9;8
4498;7;6;9;9;5;9;9;9;9;8;9; ; ; ; ; ; ;9;10;9
4514;7;9;5;6;7;8;6;7;8;9;6;5; ; ; ; ; ; ; ; 
4548;5;3;3;2;3;3;3;6;1;2;2;1;2; ; ; ; ;2;2;2
4558;8;5;10;10;8;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
4561;7;8;7;8;7;9;8; ; ; ; ;7;8;7; ; ; ;6;5;8
4575;3;1;4;1;3;4;5;7;6;5;3;4;3;7; ; ; ;8;9;5
4602;10;9;10;10;6;10;10;7;7;7;7; ; ;0; ; ; ;10;10;5
4612;5;7;7;7;7;3;5; ; ; ; ; ; ;4; ; ; ; ; ; 
4626;9;8;8;6;7;8;9;8;5;9;9;9;0; ;9;9;9; ; ; 
4663;10;0;10;0;0;10;10;10;0;10;10; ; ; ; ; ; ;0;0;0
4693;7;5;3;3;3;10;8;5;3;5;5; ; ;0;3;5;5; ; ; 
4718;7;4;5;3;2;6;8;6;4;3;7;4; ;3;2;2;2;3;3;4
4760;5;5;4;4;5;8;5;8;8;8;8;5; ; ; ; ; ; ; ; 
4817;4;6;8;2;5;8;8; ; ; ; ;8; ;8; ; ; ;6;10;8
4819;7;6;8;7;7;8;7;6;7;7;7;7;6;7;8;0;8;9;9;9
9280;9;6;10;9;8;9;10;7;10;10;10; ; ; ; ; ; ; ; ; 
9608;0;0;5;0;0;10;5;5;0;10;5; ; ;0; ; ; ;5;10;10
9620;6;6;7;7;7;8;8;8;8;9;8; ; ; ; ; ; ; ; ; 
9623;6;4;2;0;2;5;8; ; ; ; ;6; ; ; ; ; ; ; ; 
9631;2;2;1;0;1;2;3; ; ; ; ;3; ;5; ; ; ; ; ; 
9643;10;8;9;5;8;5;10;6;10;10;9; ; ;7; ; ; ;10;10;10
9672;10;7;10;8;9;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
9683;7;7;8;6;6;7;8;6;7;8;8;8; ; ; ; ; ;8;8;8
9704;4;4;6;4;3;4;5; ; ; ; ; ;0;6; ; ; ;7;9;9
9714;8;10;10;8;10;10;10;5;10;10;8; ; ;10;5;5;10; ; ; 
9755;5;5;10;10;10;5;10;8;10;10;10; ; ; ; ; ; ; ; ; 
9774;5;7;5;5;5;5;5;8;7;7;8; ; ; ; ; ; ; ; ; 
9778;10;10;10;7;10;10;10; ; ; ; ;10; ; ; ; ; ; ; ; 
9781;8;7;10;10;8;8;10;8;10;10;8; ; ; ; ; ; ; ; ; 
9791;10;10;10;6;10;10;10;7;7;7;8; ; ;8;10;10;10; ; ; 
9799;8;8;10;10;10;10;10;2;5;5;5;5; ; ; ; ; ; ; ; 
9803;8;10;10;9;7;10;10;10;9;9;10;9; ; ; ; ; ;9;9;9
9829;1;1;0;0;0;0;0;5;0;8;5;5; ; ;0;0;0;0;0;0
9830;8;10;9;7;7;8;9;6;8;6;8; ; ; ; ; ; ; ; ; 
9850;10;5;5;10;4;5;10;3;7;7;8; ; ; ; ; ; ; ; ; 
9855;7;6;6;4;5;8;6; ; ; ; ;7;8;6; ; ; ; ; ; 
9863;0;0;10;2;5;0;10;10;10;10;10; ; ; ; ; ; ;5;10;5
9886;10;10;10;10;10;10;10;10;10;10;10;10; ; ; ; ; ; ; ; 
9899;9;6;7;8;9;9;10;10;9;10;9; ; ;9; ; ; ;9;8;10
9901;7;7;5;5;8;8;8;5;8;8;6; ; ; ; ; ; ; ; ; 
9932;5;0;0;0;0;8;5;3;0;8;8; ; ; ; ; ; ;0;0;0
9939;9;9;8;9;6;8;9;4;10;9;8; ; ; ; ; ; ; ; ; 
9944;6;5;6;5;3;7;7;6;5;7;6; ; ;7; ; ; ; ; ; 
9959;5;4;4;6;4;6;7;5;7;6;6;4;5; ; ; ; ;6;4;5
9963;10;9;10;9;9;10;10; ; ; ; ;10; ;10; ; ; ;9;10;9
9972;6;5;4;4;5;3;0;5;6;7;8;5; ; ; ; ; ; ; ; 
9987;9;8;8;10;8;7;9;8;8;9;9;9; ; ; ; ; ;8;9;10
9995;10;10;10;10;10;10;10;10;10;10;10; ;10;10; ; ; ; ; ; 
9996;5;6;8;4;5;6;6;8;8;8;8; ; ; ; ; ; ;8;8;8
